Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
22E,0200,22E,0000,000,0000,000,0000,0000,004,0100
22E,0200,22F,0200,22E,0200,000,022E,0000,004,0100
22F,1205,230,1205,22F,1205,000,022F,0040,004,0100
230,2F40,231,2F40,230,0040,000,0040,0040,000,0000
231,F0FD,232,F0FD,231,F0FD,000,0231,0040,000,0000
232,1204,233,1204,232,1204,000,0232,00EB,000,0000
233,3F00,234,3F00,233,0000,000,FF14,00EB,000,0000
234,F00B,235,F00B,234,F00B,000,0234,00EB,000,0000
235,0680,236,0680,235,0680,000,0235,EB00,008,1000
236,E8F5,237,E8F5,618,EB00,000,FFF5,EB00,008,1000,618,EB00
237,1205,238,1205,237,1205,000,0237,EB40,008,1000
238,2F40,239,2F40,238,0040,000,0040,0040,000,0000
239,F0FD,23A,F0FD,239,F0FD,000,0239,0040,000,0000
23A,3F00,23B,3F00,23A,0000,000,FFBF,0040,000,0000
23B,1204,23C,1204,23B,1204,000,023B,00CF,000,0000
23C,F003,23D,F003,23C,F003,000,023C,00CF,000,0000
23D,48EE,23E,48EE,618,EB00,000,FFEE,EBCF,008,1000
23E,EAED,23F,EAED,618,EBCF,000,FFED,EBCF,008,1000,22C,0619
,                                 ,618,EBCF
23F,CEEF,22F,CEEF,23F,022F,000,FFEF,EBCF,008,1000
22F,1205,230,1205,22F,1205,000,022F,EB40,008,1000
230,2F40,231,2F40,230,0040,000,0040,0040,000,0000
231,F0FD,232,F0FD,231,F0FD,000,0231,0040,000,0000
232,1204,233,1204,232,1204,000,0232,0000,000,0000
233,3F00,234,3F00,233,0000,000,FFFF,0000,004,0100
234,F00B,240,F00B,234,F00B,000,000B,0000,004,0100
240,0100,241,0100,240,0100,000,0240,0000,004,0100
